record_id_eia,record_id_ferc1,signature_1,signature_2,notes
2322_gt4_2014_plant_gen_total_13407,f1_steam_2014_12_108_1_1,,AS,
56677_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_24,,AS,ferc mwh vs. kwh issue in net gen
525_2014_plant_owned_14354,f1_steam_2014_12_134_1_1,JER,AS,
1082_2_2014_plant_unit_total_12341,f1_steam_2014_12_210_1_2,GT,AS,
7082_gt4_2014_plant_gen_total_13407,f1_steam_2014_12_108_0_2,,AS,could be mixed with other generator
56666_2014_plant_total_14354,f1_gnrt_plant_2014_12_134_0_37,,AS,ferc mwh vs kwh issue with net gen
3028_2014_plant_total_14354,f1_hydro_2014_12_134_1_4,JER,AS,
56841_1_2014_plant_gen_total_14354,f1_gnrt_plant_2014_12_134_0_34,,AS,
56842_2014_plant_total_14354,f1_gnrt_plant_2014_12_134_0_36,,AS,ferc mwh vs kwh issue with net gen
56843_1_2014_plant_gen_owned_14354,f1_gnrt_plant_2014_12_134_0_41,,AS,capacity was 99 in 2007 in EIA then went up
56379_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_15,,AS,ferc mwh vs kwh issue with net gen
56360_2014_plant_total_14354,f1_gnrt_plant_2014_12_134_0_38,,AS,ferc mwh vs kwh issue with net gen
57875_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_45,,AS,ferc mwh vs kwh issue with net gen
7082_gt1_2014_plant_gen_total_13407,f1_steam_2014_12_108_2_1,,AS,could be mixed with other generator
57299_2014_plant_total_14354,f1_gnrt_plant_2014_12_134_0_32,,AS,ferc mwh vs. kwh issue with net gen
57500_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_39,,AS,ferc mwh vs kwh issue with net gen
58885_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_1_6,,AS,ferc mwh vs kwh issue with net gen
2336_5_2014_plant_gen_total_17166,f1_steam_2014_12_157_1_1,,AS,poor generation match
1084_2014_plant_total_12341,f1_steam_2014_12_210_2_1,,AS,
3852_2014_plant_total_14354,f1_hydro_2014_12_134_3_5,GT,AS,
3847_2014_plant_total_14354,f1_hydro_2014_12_134_2_2,GT,AS,
56466_1_2014_plant_gen_total_14354,f1_gnrt_plant_2014_12_134_0_39,,AS,ferc forgot to put decimals in their net generation value
58886_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_1_8,,AS,ferc mwh vs kwh issue with net gen
1081_2014_plant_total_12341,f1_steam_2014_12_210_1_5,GT,AS,
1091_1_2014_plant_unit_total_12341,f1_steam_2014_12_210_1_3,GT,AS,
56809_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_30,,AS,ferc mwh vs. kwh issue in net gen
57874_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_1_1,,AS,ferc mwh vs kwh issue with net gen
56811_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_33,,AS,ferc mwh vs kwh issue with net gen
6076_2014_plant_owned_14354,f1_steam_2014_12_134_0_3,JER,AS,"using plant_owned means we lose installation year, or can that be added to the MUL?"
8029_2014_plant_total_12341,f1_steam_2014_12_210_2_2,GT,AS,
6021_2014_plant_owned_14354,f1_steam_2014_12_134_0_4,JER,AS,
56810_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_27,,AS,
56251_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_7,,AS,ferc mwh vs kwh issue with net gen
7145_2014_plant_total_12341,f1_steam_2014_12_210_2_3,GT,AS,
3648_gt_2014_plant_prime_mover_total_14354,f1_steam_2014_12_134_3_5,JER,AS,capacity increase in 2014 in EIA doesn't show up in FERC
3644_2014_plant_total_14354,f1_steam_2014_12_134_0_1,JER,AS,capacity went up in eia but not in ferc
56252_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_11,,AS,ferc mwh vs. kwh issue in net gen
57873_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_42,,AS,ferc mwh vs. kwh issue with net gen
2330_2014_plant_total_17166,f1_steam_2014_12_157_0_1,GT,AS,
3850_2014_plant_total_14354,f1_hydro_2014_12_134_3_4,GT,AS,
2336_st_2014_plant_prime_mover_total_17166,f1_steam_2014_12_157_0_4,GT,AS,
58884_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_1_4,,AS,ferc mwh vs kwh issue with net gen
3648_st_2014_plant_prime_mover_total_14354,f1_steam_2014_12_134_2_5,JER,AS,capacity increase in 2014 in EIA doesn't show up in FERC
4941_2014_plant_owned_13407,f1_steam_2014_12_108_0_5,,AS,capacity a little off but seems like nbd
6063_2014_plant_total_12341,f1_steam_2014_12_210_2_4,GT,AS,
54761_2014_plant_owned_14354,f1_steam_2014_12_134_3_1,,AS,"tricky: capacity if off by a little, but generation matches pretty well for plant_owned"
7343_2014_plant_owned_12341,f1_steam_2014_12_210_0_3,,AS,
8224_2014_plant_owned_17166,f1_steam_2014_12_157_0_2,,AS,
56501_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_20,,AS,ferc mwh vs kwh issue with net gen
6101_2014_plant_owned_14354,f1_steam_2014_12_134_2_4,JER,AS,capacity increase in 2014 in EIA doesn't show up in FERC
54854_2014_plant_total_13407,f1_steam_2014_12_108_1_3,,AS,
6165_2_2014_plant_unit_owned_14354,f1_steam_2014_12_134_1_3,JER,AS,"could be gen or unit, I chose unit because it's not a false granularity"
2324_4_2014_plant_unit_total_13407,f1_steam_2014_12_108_1_4,GT,AS,
2324_1_2014_plant_gen_total_13407,f1_steam_2014_12_108_0_3,,AS,
1091_2_2014_plant_unit_total_12341,f1_steam_2014_12_210_1_4,GT,AS,
10761_2014_plant_total_13407,f1_steam_2014_12_108_0_1,,AS,
6254_2014_plant_owned_12341,f1_steam_2014_12_210_0_4,GT,AS,
1091_3_2014_plant_unit_owned_12341,f1_steam_2014_12_210_0_2,,AS,
113_4_2014_plant_gen_total_14354,f1_steam_2014_12_134_0_2,JER,AS,"MUL subset doesn't include generators owned by other owners. I think it's weird to use the eia record for the plant because of that, so switched to the generator even though it's a false "
57501_2014_plant_total_12341,f1_gnrt_plant_2014_12_210_0_36,,AS,ferc mwh vs kwh issue with net gen
6165_1_2014_plant_unit_owned_14354,f1_steam_2014_12_134_1_2,JER,AS,
6165_3_2014_plant_unit_total_14354,f1_steam_2014_12_134_1_4,JER,AS,unit or gen?
55841_2014_plant_owned_13407,f1_steam_2014_12_108_2_3,GT,AS,
880_2014_plant_owned_12341,f1_steam_2014_12_210_3_3,GT,AS,
2322_ct_2014_plant_prime_mover_total_13407,f1_steam_2014_12_108_1_5,,AS,
1082_4_2014_plant_unit_owned_12341,f1_steam_2014_12_210_3_5,GT,AS,
7082_1_2014_plant_unit_total_13407,f1_steam_2014_12_108_3_2,,AS,"adding the values of 5,6,7 get 557 which is really close to this!"
56102_2014_plant_total_14354,f1_steam_2014_12_134_4_1,JER,AS,capacity increase in EIA in 2014 for all generators doesn't show in FERC
1082_3_2014_plant_unit_owned_12341,f1_steam_2014_12_210_0_1,,AS,
7985_2014_plant_total_12341,f1_steam_2014_12_210_3_4,GT,AS,
56237_1_2014_plant_unit_total_14354,f1_steam_2014_12_134_4_2,JER,AS,"Capacity doesnt match, but both sub-units went up in 2014 and the EIA capacity is the sum of the same two units as before"
55662_2014_plant_total_14354,f1_steam_2014_12_134_3_4,JER,AS,EIA capacity increased in 2014 but FERC capacity stayed the same
2336_1_2014_plant_unit_total_17166,f1_steam_2014_12_157_1_2,,AS,
56237_2_2014_plant_unit_total_14354,f1_steam_2014_12_134_4_3,JER,AS,655 capacity associated with NG in 2013 but not match in 2014 as NG goes up from 655 to 1385. Not sure what this should be.
55687_2014_plant_total_13407,f1_steam_2014_12_108_3_1,GT,AS,
4162_2014_plant_total_14354,f1_steam_2014_12_134_2_3,JER,AS,
6664_2014_plant_owned_12341,f1_steam_2014_12_210_0_5,GT,AS,
4158_2014_plant_total_14354,f1_steam_2014_12_134_0_5,JER,AS,capacity increase in 2014 in EIA doesn't show up in FERC
8069_2014_plant_total_14354,f1_steam_2014_12_134_2_1,JER,AS,Huntington 1 capacity went up in 2014 in EIA doesn’t show up in FERC
6165_2014_plant_owned_14354,f1_steam_2014_12_134_1_5,JER,AS,capacity change in 2014 in EIA doesn't show up in FERC
55322_2014_plant_total_13407,f1_steam_2014_12_108_2_2,GT,AS,
8066_2014_plant_owned_14354,f1_steam_2014_12_134_2_2,JER,AS,
3035_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_16,,AS,ferc mwh vs kwh issue with net gen
3659_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_18,,AS,ferc mwh vs kwh issue with net gen
3041_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_21,,AS,ferc mwh vs kwh issue with net gen
6484_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_3,,AS,ferc mwh vs kwh issue with net gen
987_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_11,,AS,ferc mwh vs kwh issue with net gen
58150_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_1_1,,AS,ferc mwh vs kwh issue with net gen
3651_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_9,,AS,ferc mwh vs kwh issue with net gen
296_2015_plant_owned_14354,f1_gnrt_plant_2015_12_134_0_7,,AS,ferc mwh vs kwh issue with net gen
3024_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_5,,AS,ferc mwh vs kwh issue with net gen
3025_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_6,,AS,ferc mwh vs kwh issue with net gen
899_hy_2015_plant_prime_mover_total_12341,f1_gnrt_plant_2015_12_210_0_1,,AS,ferc forgot to add decimals for net generation
3032_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_14,,AS,ferc mwh vs kwh issue with net gen
3661_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_22,,AS,ferc mwh vs kwh issue with net gen
6459_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_4,,AS,ferc mwh vs kwh issue with net gen
3656_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_13,,AS,ferc mwh vs kwh issue with net gen
6510_2015_plant_owned_17166,f1_gnrt_plant_2015_12_157_0_2,,AS,
825_2015_plant_owned_14354,f1_gnrt_plant_2015_12_134_0_2,,AS,ferc decimal problem with net gen
3034_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_15,,AS,ferc mwh vs kwh issue with net gen
57684_2015_plant_total_13407,f1_gnrt_plant_2015_12_108_0_5,,AS,
3026_2015_plant_total_14354,f1_hydro_2015_12_134_1_1,GT,AS,
3037_2015_plant_total_14354,f1_hydro_2015_12_134_3_3,GT,AS,
831_2015_plant_total_14354,f1_hydro_2015_12_134_3_2,GT,AS,
3020_2015_plant_total_14354,f1_hydro_2015_12_134_0_3,JER,AS,
59919_2015_plant_total_13407,f1_gnrt_plant_2015_12_108_0_7,,AS,
297_2015_plant_total_14354,f1_hydro_2015_12_134_1_3,GT,AS,
3036_2015_plant_total_14354,f1_hydro_2015_12_134_3_1,GT,AS,
56843_2_2015_plant_gen_total_14354,f1_gnrt_plant_2015_12_134_0_42,,AS,
294_2015_plant_total_14354,f1_hydro_2015_12_134_0_1,GT,AS,
3021_2015_plant_total_14354,f1_hydro_2015_12_134_0_4,JER,AS,
295_2015_plant_total_14354,f1_hydro_2015_12_134_0_2,GT,AS,
57039_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_44,,AS,ferc mwh vs kwh issue with net gen
3646_2015_plant_total_14354,f1_hydro_2015_12_134_0_5,GT,AS,
829_2015_plant_total_14354,f1_hydro_2015_12_134_2_4,GT,AS,
3029_2015_plant_total_14354,f1_hydro_2015_12_134_1_5,GT,AS,
3033_2015_plant_total_14354,f1_hydro_2015_12_134_2_5,GT,AS,
55607_2015_plant_owned_14354,f1_gnrt_plant_2015_12_134_0_33,,AS,ferc mwh vs kwh issue in net gen
827_2015_plant_total_14354,f1_hydro_2015_12_134_1_2,GT,AS,
1097_2015_plant_total_12341,f1_steam_2015_12_210_2_5,,AS,
299_2015_plant_total_14354,f1_steam_2015_12_134_3_2,JER,AS,proposed in suffix of original record match--should that be in override too?
6421_2015_plant_total_14354,f1_hydro_2015_12_134_2_1,GT,AS,
56841_2_2015_plant_gen_total_14354,f1_gnrt_plant_2015_12_134_0_35,,AS,
3040_2015_plant_total_14354,f1_hydro_2015_12_134_2_3,GT,AS,
1082_1_2015_plant_unit_total_12341,f1_steam_2015_12_210_1_1,GT,AS,
56466_2_2015_plant_gen_total_14354,f1_gnrt_plant_2015_12_134_0_40,,AS,ferc forgot to put decimals in their net generation value
1079_2015_plant_total_12341,f1_steam_2015_12_210_3_2,,AS,
899_gt_2015_plant_prime_mover_total_12341,f1_steam_2015_12_210_3_1,,AS,
2322_gt4_2015_plant_gen_total_13407,f1_steam_2015_12_108_1_1,,AS,
56677_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_24,,AS,ferc mwh vs. kwh issue in net gen
525_2015_plant_owned_14354,f1_steam_2015_12_134_1_1,JER,AS,
1082_2_2015_plant_unit_total_12341,f1_steam_2015_12_210_1_2,GT,AS,
7082_gt4_2015_plant_gen_total_13407,f1_steam_2015_12_108_0_2,GT,AS,could be mixed with other generator
56666_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_37,,AS,ferc mwh vs kwh issue with net gen
3028_2015_plant_total_14354,f1_hydro_2015_12_134_1_4,JER,AS,
56841_1_2015_plant_gen_total_14354,f1_gnrt_plant_2015_12_134_0_34,,AS,
56842_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_36,,AS,ferc mwh vs kwh issue with net gen
56843_1_2015_plant_gen_owned_14354,f1_gnrt_plant_2015_12_134_0_41,,AS,capacity was 99 in 2007 in EIA then went up
56379_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_15,,AS,ferc mwh vs kwh issue with net gen
56360_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_38,,AS,ferc mwh vs kwh issue with net gen
57875_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_45,,AS,ferc mwh vs kwh issue with net gen
7082_gt1_2015_plant_gen_total_13407,f1_steam_2015_12_108_2_1,GT,AS,
59637_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_1_16,,AS,FERC mwh vs. kwh issue in net gen
57299_2015_plant_total_14354,f1_gnrt_plant_2015_12_134_0_32,,AS,ferc mwh vs. kwh issue with net gen
57500_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_39,,AS,ferc mwh vs kwh issue with net gen
58885_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_1_7,,AS,ferc mwh vs kwh issue with net gen
2336_2_2015_plant_unit_owned_17166,f1_steam_2015_12_157_0_4,,AS,
2336_5_2015_plant_gen_total_17166,f1_steam_2015_12_157_1_1,,AS,poor generation match
1084_2015_plant_total_12341,f1_steam_2015_12_210_2_1,,AS,
3852_2015_plant_total_14354,f1_hydro_2015_12_134_3_5,GT,AS,
3847_2015_plant_total_14354,f1_hydro_2015_12_134_2_2,GT,AS,
1081_2015_plant_total_12341,f1_steam_2015_12_210_1_5,GT,AS,
56466_1_2015_plant_gen_total_14354,f1_gnrt_plant_2015_12_134_0_39,,AS,ferc forgot to put decimals in their net generation value
58886_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_1_10,,AS,ferc mwh vs kwh issue with net gen
1091_1_2015_plant_unit_total_12341,f1_steam_2015_12_210_1_3,GT,AS,
56809_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_30,,AS,ferc mwh vs. kwh issue in net gen
57874_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_1_1,,AS,ferc mwh vs kwh issue with net gen
56811_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_33,,AS,ferc mwh vs kwh issue with net gen
6076_2015_plant_owned_14354,f1_steam_2015_12_134_0_3,JER,AS,"using plant_owned means we lose installation year, or can that be added to the MUL?"
8029_2015_plant_total_12341,f1_steam_2015_12_210_2_2,,AS,
6021_2015_plant_owned_14354,f1_steam_2015_12_134_0_4,JER,AS,
56810_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_27,,AS,
56251_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_7,,AS,ferc mwh vs kwh issue with net gen
3648_gt_2015_plant_prime_mover_total_14354,f1_steam_2015_12_134_3_5,JER,AS,capacity increase in 2014 in EIA doesn't show up in FERC
3644_2015_plant_total_14354,f1_steam_2015_12_134_0_1,JER,AS,
7145_2015_plant_total_12341,f1_steam_2015_12_210_2_3,GT,AS,
56252_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_11,,AS,ferc mwh vs. kwh issue in net gen
57873_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_42,,AS,ferc mwh vs. kwh issue with net gen
2330_2015_plant_total_17166,f1_steam_2015_12_157_0_1,GT,AS,
3850_2015_plant_total_14354,f1_hydro_2015_12_134_3_4,GT,AS,
58884_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_1_4,,AS,ferc mwh vs kwh issue with net gen
3648_st_2015_plant_prime_mover_total_14354,f1_steam_2015_12_134_2_5,JER,AS,capacity increase in 2014 in EIA doesn't show up in FERC
4941_2015_plant_owned_13407,f1_steam_2015_12_108_0_4,,AS,capacity a little off but seems like nbd
6063_2015_plant_total_12341,f1_steam_2015_12_210_2_4,GT,AS,
54761_2015_plant_owned_14354,f1_steam_2015_12_134_3_1,,AS,"tricky: capacity if off by a little, but generation matches pretty well for plant_owned"
7343_2015_plant_owned_12341,f1_steam_2015_12_210_0_3,,AS,
8224_2015_plant_owned_17166,f1_steam_2015_12_157_0_2,,AS,
56501_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_20,,AS,ferc mwh vs kwh issue with net gen
6101_2015_plant_owned_14354,f1_steam_2015_12_134_2_4,JER,AS,capacity increase in 2014 in EIA doesn't show up in FERC
54854_2015_plant_total_13407,f1_steam_2015_12_108_1_3,,AS,
6165_2_2015_plant_unit_owned_14354,f1_steam_2015_12_134_1_3,JER,AS,"could be gen or unit, I chose unit because it's not a false granularity"
2324_2015_plant_total_13407,f1_steam_2015_12_108_1_4,GT,AS,
1091_2_2015_plant_unit_total_12341,f1_steam_2015_12_210_1_4,GT,AS,
10761_2015_plant_total_13407,f1_steam_2015_12_108_0_1,GT,AS,
113_4_2015_plant_gen_total_14354,f1_steam_2015_12_134_0_2,JER,AS,"MUL subset doesn't include generators owned by other owners. I think it's weird to use the eia record for the plant because of that, so switched to the generator even though it's a false "
6254_2015_plant_owned_12341,f1_steam_2015_12_210_0_4,,AS,capacity increase in 2015 in FERC doesn't show up in EIA
1091_3_2015_plant_unit_owned_12341,f1_steam_2015_12_210_0_2,GT,AS,
57501_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_0_36,,AS,ferc mwh vs kwh issue with net gen
6165_1_2015_plant_unit_owned_14354,f1_steam_2015_12_134_1_2,JER,AS,
6165_3_2015_plant_unit_total_14354,f1_steam_2015_12_134_1_4,JER,AS,unit or gen?
55841_2015_plant_owned_13407,f1_steam_2015_12_108_0_5,GT,AS,
58883_2015_plant_total_12341,f1_gnrt_plant_2015_12_210_1_13,,AS,ferc mwh vs kwh issue with net gen
880_2015_plant_owned_12341,f1_steam_2015_12_210_3_3,GT,AS,
1082_4_2015_plant_unit_owned_12341,f1_steam_2015_12_210_3_5,GT,AS,
7082_1_2015_plant_unit_total_13407,f1_steam_2015_12_108_3_2,,AS,"adding the values of 5,6,7 get 557 which is really close to this!"
56102_2015_plant_total_14354,f1_steam_2015_12_134_4_1,JER,AS,capacity increase in EIA in 2014 for all generators doesn't show in FERC
1082_3_2015_plant_unit_owned_12341,f1_steam_2015_12_210_0_1,GT,AS,
7985_2015_plant_total_12341,f1_steam_2015_12_210_3_4,,AS,"generation doesn't match this year, unclear why"
2322_ct_2015_plant_prime_mover_total_13407,f1_steam_2015_12_108_1_5,GT,AS,
56237_1_2015_plant_unit_total_14354,f1_steam_2015_12_134_4_2,JER,AS,"Capacity doesnt match, but both sub-units went up in 2014 and the EIA capacity is the sum of the same two units as before"
55662_2015_plant_total_14354,f1_steam_2015_12_134_3_4,JER,AS,EIA capacity increased in 2014 but FERC capacity stayed the same
2336_1_2015_plant_unit_total_17166,f1_steam_2015_12_157_1_2,,AS,
56237_2_2015_plant_unit_total_14354,f1_steam_2015_12_134_4_3,JER,AS,655 capacity associated with NG in 2013 but not match in 2014 as NG goes up from 655 to 1385. Not sure what this should be.
55687_2015_plant_total_13407,f1_steam_2015_12_108_3_1,GT,AS,
4162_2015_plant_total_14354,f1_steam_2015_12_134_2_3,JER,AS,
6664_2015_plant_owned_12341,f1_steam_2015_12_210_0_5,GT,AS,
4158_2015_plant_total_14354,f1_steam_2015_12_134_0_5,JER,AS,capacity increase in 2014 in EIA doesn't show up in FERC
8069_2015_plant_total_14354,f1_steam_2015_12_134_2_1,JER,AS,Huntington 1 capacity went up in 2014 in EIA doesn’t show up in FERC
6165_2015_plant_owned_14354,f1_steam_2015_12_134_1_5,JER,AS,capacity change in 2014 in EIA doesn't show up in FERC
55322_2015_plant_total_13407,f1_steam_2015_12_108_2_2,GT,AS,
8066_2015_plant_owned_14354,f1_steam_2015_12_134_2_2,JER,AS,
3035_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_15,,AS,ferc mwh vs kwh issue with net gen
3659_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_17,,AS,ferc mwh vs kwh issue with net gen
3041_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_20,,AS,ferc mwh vs kwh issue with net gen
6484_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_3,,AS,ferc mwh vs kwh issue with net gen
987_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_10,,AS,ferc mwh vs kwh issue with net gen
58150_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_46,,AS,ferc mwh vs kwh issue with net gen
3651_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_8,,AS,ferc mwh vs kwh issue with net gen
296_2016_plant_owned_14354,f1_gnrt_plant_2016_12_134_0_7,,AS,ferc mwh vs kwh issue with net gen
3024_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_5,,AS,ferc mwh vs kwh issue with net gen
3025_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_6,,AS,ferc mwh vs kwh issue with net gen
899_hy_2016_plant_prime_mover_total_12341,f1_gnrt_plant_2016_12_210_0_1,,AS,ferc forgot to add decimals for net generation
3032_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_13,,AS,ferc mwh vs kwh issue with net gen
3661_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_21,,AS,ferc mwh vs kwh issue with net gen
6459_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_4,,AS,ferc mwh vs kwh issue with net gen
3656_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_12,,AS,ferc mwh vs kwh issue with net gen
6510_2016_plant_owned_17166,f1_gnrt_plant_2016_12_157_0_2,,AS,
825_2016_plant_owned_14354,f1_gnrt_plant_2016_12_134_0_2,,AS,ferc decimal problem with net gen
3034_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_14,,AS,ferc mwh vs kwh issue with net gen
57684_2016_plant_total_13407,f1_gnrt_plant_2016_12_108_0_5,,AS,
3026_2016_plant_total_14354,f1_hydro_2016_12_134_1_1,GT,AS,
3037_2016_plant_total_14354,f1_hydro_2016_12_134_3_3,GT,AS,
831_2016_plant_total_14354,f1_hydro_2016_12_134_3_2,GT,AS,
3020_2016_plant_total_14354,f1_hydro_2016_12_134_0_3,JER,AS,
59919_2016_plant_total_13407,f1_gnrt_plant_2016_12_108_0_7,,AS,
297_2016_plant_total_14354,f1_hydro_2016_12_134_1_3,GT,AS,
3036_2016_plant_total_14354,f1_hydro_2016_12_134_3_1,GT,AS,
56843_2_2016_plant_gen_total_14354,f1_gnrt_plant_2016_12_134_0_41,,AS,
294_2016_plant_total_14354,f1_hydro_2016_12_134_0_1,GT,AS,
3021_2016_plant_total_14354,f1_hydro_2016_12_134_0_4,JER,AS,
295_2016_plant_total_14354,f1_hydro_2016_12_134_0_2,GT,AS,
57039_2016_plant_total_14354,f1_gnrt_plant_2016_12_134_0_43,,AS,ferc mwh vs kwh issue with net gen
3646_2016_plant_total_14354,f1_hydro_2016_12_134_0_5,GT,AS,
829_2016_plant_total_14354,f1_hydro_2016_12_134_2_4,GT,AS,
